TRANSNR;LOTNT;MARKS;MARKS2;REF;REF2;BAGMARK;GRADE-GR;BAGSNR;WEIGHT-Kgr;SALENO;BAGSBOUGHTNR;WEIGHTBOUGHT-Kgr;BUYERCODE;PRICE;SEATNR;AUCTCODE;STATUS;ISODATE;SEASON;VALUE
395;1240;46NG1004/THANGA-INI FCS/XAB20;46NG1004/THANGA-INIFCS/XAB20/;XAB20;XAB20;46NG1004;AB;21;1279;30;21;1279;238;283;57;16;2;05-Sep-17;2016-2017;7239.14
396;1241;42NG0043/IYEGO/XAB13F01;42NG0043/IYEGO/XAB13F01/;XAB13F01;XAB13F01;42NG0043;AB;30;1845;30;30;1845;78;283;78;16;2;05-Sep-17;2016-2017;10442.7
397;1242;46MT2007/BULK;46MT2007/BULK;PB;10;600;30;10;600;237;201;13;16;2;05-Sep-17;2016-2017;2412;;;
398;1243;46MT2006/BULK;46MT2006/BULK;PB;10;666;30;10;666;39;281;39;16;1;05-Sep-17;2016-2017;3742.92;;;
399;1244;46MT2008/BULK;46MT2008/BULK;PB;6;395;30;6;395;39;280;39;16;1;05-Sep-17;2016-2017;2212;;;
400;1245;46MT2009/BULK;46MT2009/BULK;PB;6;400;30;6;400;39;281;39;16;1;05-Sep-17;2016-2017;2248;;;
401;1246;46MT2002/BULK;46MT2002/BULK;AA;5;329;30;5;329;238;268;57;16;2;05-Sep-17;2016-2017;1763.44;;;
402;1247;46NG1011/BULK;46NG1011/BULK;AA;22;1351;30;22;1351;237;256;13;16;2;05-Sep-17;2016-2017;6917.12;;;
403;1248;46MT2014/BULK;46MT2014/BULK;AA;5;345;30;5;345;62;377;62;16;2;05-Sep-17;2016-2017;2601.3;;;
404;1249;44MT2009/BULK;44MT2009/BULK;AA;7;471;30;7;471;238;362;57;16;2;05-Sep-17;2016-2017;3410.04;;;
405;1250;46MT2001/BULK;46MT2001/BULK;AA;7;484;30;7;484;62;374;62;16;2;05-Sep-17;2016-2017;3620.32;;;
406;1251;46MT2003/BULK;46MT2003/BULK;AA;6;426;30;6;426;237;388;13;16;2;05-Sep-17;2016-2017;3305.76;;;
407;1252;44MT2007/BULK;44MT2007/BULK;UG3;9;576;30;9;576;237;62;13;16;2;05-Sep-17;2016-2017;714.24;;;
408;1253;44MT2008/BULK;44MT2008/BULK;UG3;9;560;30;9;560;237;71;13;16;1;05-Sep-17;2016-2017;795.2;;;
409;1254;40NG0014/IRIGITHATHI/AB0044;40NG0014/IRIGITHATHI/AB0044/;AB0044;AB0044;40NG0014;UG3;5;321;30;5;321;237;70;13;16;1;05-Sep-17;2016-2017;449.4
410;1255;40NG1004/NYAKIO/AB0015;40NG1004/NYAKIO/AB0015/;AB0015;AB0015;40NG1004;UG3;6;412;30;6;412;237;71;13;16;1;05-Sep-17;2016-2017;585.04
411;1256;46NG1010/NYAKIO/AB0015;46NG1010/NYAKIO/AB0015/;AB0015;AB0015;46NG1010;UG3;11;727;30;11;727;237;70;13;16;2;05-Sep-17;2016-2017;1017.8
412;1257;46MT2018/BULK;46MT2018/BULK;UG3;5;320;30;5;320;21;31;21;16;2;05-Sep-17;2016-2017;198.4;;;
413;1258;46MT2017/BULK;46MT2017/BULK;UG2;6;410;30;6;410;238;91;57;16;2;05-Sep-17;2016-2017;746.2;;;
414;1259;46NG1009/BULK;46NG1009/BULK;UG2;9;576;30;9;576;52;136;52;16;1;05-Sep-17;2016-2017;1566.72;;;
415;1260;46NG1010/NYAKIO/AB0015;46NG1010/NYAKIO/AB0015/;AB0015;AB0015;46NG1010;UG1;10;639;30;10;639;39;134;39;16;2;05-Sep-17;2016-2017;1712.52
416;1261;44MT4001/NKG;44MT4001/NKG;UG;30;1800;30;30;1800;51;156;51;16;2;05-Sep-17;2016-2017;5616;;;
417;1262;42MT2005/BULK;42MT2005/BULK;HE;8;494;30;8;494;237;71;13;16;1;05-Sep-17;2016-2017;701.48;;;
418;1263;46NG1009/BULK;46NG1009/BULK;HE;6;383;30;6;383;21;100;21;16;1;05-Sep-17;2016-2017;766;;;
419;1264;46MT2015/BULK;46MT2015/BULK;HE;6;397;30;6;397;74;112;74;16;1;05-Sep-17;2016-2017;889.28;;;
420;1265;44MT2011/BULK;44MT2011/BULK;HE;13;844;30;13;844;74;96;74;16;2;05-Sep-17;2016-2017;1620.48;;;
